id,idiom,missing,order
int,string,string,string
1,投其所好,3,B
2,阿谀逢迎,4,I
3,爱莫能助,3,N
4,安步当车,4,G
5,安富尊荣,3,O
6,安之若素,4,B
7,暗箭伤人,3,I
8,昂首阔步,1,N
9,傲然屹立,2,G
10,八方呼应,2,O
11,巴三览四,3,B
12,百不失一,3,I
13,百花齐放,4,N
14,百年不遇,4,G
15,百折不回,1,O
16,败军之将,4,B
17,斑驳陆离,1,I
18,板上钉钉,2,N
19,半夜三更,4,G
20,宝刀不老,3,O
21,宝山空回,2,B
22,报冰公事,1,I
23,抱蔓摘瓜,4,N
24,杯弓蛇影,3,G
25,北叟失马,2,O
26,北辕适楚,3,B
27,背城借一,4,I
28,背井离乡,4,N
29,倍日并行,1,G
30,被发缨冠,4,O
31,被山带河,3,B
32,奔走相告,1,I
33,本末倒置,3,N
34,比肩继踵,3,G
35,币重言甘,4,O
36,弊绝风清,3,B
37,壁垒森严,2,I
38,鞭辟入里,4,N
39,变本加厉,4,G
40,变化无穷,3,O
41,表里如一,4,B
42,别具匠心,3,I
43,别具一格,3,N
44,别有洞天,2,G
45,别有用心,1,O
46,冰炭不投,1,B
47,冰雪聪明,3,I
48,兵连祸结,4,N
49,并行不悖,3,G
50,病病歪歪,1,O
51,病从口入,2,B
52,博士买驴,2,I
53,博闻强识,4,N
54,布鼓雷门,4,G
55,采兰赠药,3,O
56,彩凤随鸦,1,B
57,惭凫企鹤,2,I
58,藏头露尾,4,N
59,草率收兵,1,G
60,草木皆兵,1,O
61,草长莺飞,1,B
62,察察为明,2,I
63,差三错四,2,N
64,肠肥脑满,3,G
65,绰约多姿,1,O
66,朝梁暮陈,1,B
67,车水马龙,3,I
68,车载斗量,2,N
69,沉李浮瓜,3,G
70,沉鱼落雁,1,O
71,沉冤莫白,3,B
72,沉滓泛起,2,I
73,陈陈相因,2,N
74,陈词滥调,2,G
75,成千上万,3,O
76,成仁取义,4,B
77,程门立雪,1,I
78,秤平斗满,3,N
79,驰名中外,4,G
80,尺寸可取,2,O
81,出谷迁乔,1,B
82,出奇制胜,4,I
83,出入人罪,2,N
84,刍荛之见,3,G
85,除暴安良,3,O
86,楚囚对泣,3,B
87,穿壁引光,4,I
88,穿井得人,4,N
89,穿云裂石,4,G
90,垂涎欲滴,1,O
91,春山如笑,1,B
92,春蚓秋蛇,3,I
93,词钝意虚,1,N
94,此起彼伏,3,G
95,从井救人,3,O
96,从心所欲,2,B
97,措置裕如,2,I
98,错彩镂金,4,N
99,打成一片,4,G
100,大打出手,1,O
101,大敌当前,3,B
102,大度包容,1,I
103,大名鼎鼎,1,N
104,大璞不完,2,G
105,大势所趋,3,O
106,大有人在,4,B
107,待理不理,1,I
108,待人接物,1,N
109,胆大心细,3,G
110,胆破心寒,3,O
111,胆小如鼠,2,B
112,胆战心惊,2,I
113,旦种暮成,3,N
114,淡汝浓抹,4,G
115,弹尽援绝,2,O
116,当门抵户,2,B
117,当务之急,2,I
118,盗憎主人,3,N
119,道不拾遗,1,G
120,道路以目,1,O
121,得寸进尺,3,B
122,得胜回朝,2,I
123,得意忘形,4,N
124,德高望重,3,G
125,德厚流光,2,O
126,低三下四,1,B
127,低声下气,3,I
128,滴水成冰,2,N
129,地丑德齐,1,G
130,地久天长,1,O
131,地老天荒,3,B
132,地利人和,3,I
133,地平天成,2,N
134,地上天官,3,G
135,地狱变相,4,O
136,点铁成金,4,B
137,吊死问疾,3,I
138,丁公凿井,1,N
139,鼎鼎大名,2,G
