id,idiom,missing,order
int,string,string,string
1,何足挂齿,3,B
2,局促不安,4,I
3,愁眉不展,3,N
4,囫囵吞枣,4,G
5,反唇相讥,3,O
6,锦衣玉食,4,B
7,粗茶淡饭,3,I
8,病入膏肓,1,N
9,好高骛远,2,G
10,风流韵事,2,O
11,大放异彩,3,B
12,持之以恒,3,I
13,步步为营,4,N
14,宾至如归,4,G
15,精诚团结,1,O
16,悔不当初,4,B
17,害群之马,1,I
18,改头换面,2,N
19,大快朵颐,4,G
20,春风满面,3,O
21,不可就药,2,B
22,精疲力竭,1,I
23,光阴似箭,4,N
24,咄咄逼人,3,G
25,点石成金,2,O
26,吹毛求疵,3,B
27,处之泰然,4,I
28,成群结队,4,N
29,不速之客,1,G
30,半信半疑,4,O
31,噤若寒蝉,3,B
32,谨言慎行,1,I
33,绞尽脑汁,3,N
34,昏昏欲睡,3,G
35,华而不实,4,O
36,高谈阔论,3,B
37,负荆请罪,2,I
38,蜂拥而至,4,N
39,放荡不羁,4,G
40,独占鳌头,3,O
41,大刀阔斧,4,B
42,草菅人命,3,I
43,操之过急,3,N
44,重振旗鼓,2,G
45,鞠躬尽瘁,1,O
46,斤斤计较,1,B
47,接踵而至,3,I
48,剑拔弩张,4,N
49,胡说八道,3,G
50,耿耿于怀,1,O
51,改邪归正,2,B
52,分文不值,2,I
53,分道扬镳,4,N
54,东山再起,4,G
55,当机立断,3,O
56,不义之财,1,B
57,歌功颂德,2,I
58,道听途说,4,N
59,重出江湖,1,G
60,节衣缩食,1,O
61,接二连三,1,B
62,见义勇为,2,I
63,恍然大悟,2,N
64,欢欣鼓舞,3,G
65,画蛇添足,1,O
66,后患无穷,1,B
67,好吃懒做,3,I
68,海底捞针,2,N
69,光天化日,3,G
70,根深蒂固,1,O
71,甘之若饴,3,B
72,飞黄腾达,2,I
73,陈词滥调,2,N
74,仓皇失措,2,G
75,不谋而合,3,O
76,不劳无获,4,B
77,不动声色,1,I
78,鞭长莫及,3,N
79,竭尽所能,4,G
80,家财万贯,2,O
81,后会有期,1,B
82,后悔莫及,4,I
83,横行霸道,2,N
